jobpost_id,Link,Job_Title,Company_Name,Company_link,Date,Keyword,Location,Employment_Type,Job_Function,Industries,Seniority_Level,Job_Description,Company_Link
1,https://linkedin.com/jobs/view/business-analyst-at-cebu-pacific-air-3685645072,Business Analyst,Cebu Pacific Air,,2023-09-17,software development,"Pasay, National Capital Region, Philippines",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Airlines and Aviation,"
        <strong>Department</strong><p><br></p>Commercial Systems<p><br></p><strong>Employee Type</strong><p><br></p>Probationary<p><br></p>Cebu Pacific is always up for new challenges, enabling our teams to stay at the forefront of Technological innovations. Pursuing a career in IT at Cebu Pacific will expose you to a highly visible team, who is known to deliver solutions for business analytics, data architecture, technology engineering, project management, IT security, etc. As we continue to journey through this path of recovery and rebuild, we are in search for the right JUAN who share our values of breaking boundaries, never fearing failure or mistakes but rather always in the pursuit of new ideas and better solutions.<p><br></p>Apply today and be JUAN of the game changers of the Philippines’ leading airline, Cebu Pacific as a Business Analyst.<p><br></p>Primary Responsibilities:<p><br></p><ul><li>Unde r s t a n d t he b u s i n e ss i s s u es a nd d a t ach a l l en g esof c l i en t ' s o r g an i z a t i o n and i ndu s tr y . </li><li> R e v i ew and e d i t r eq u ir e m en t s,sp e c i f i c a t i on s , bu s i n es s p r o ces s esand r eco mm en d a t i ons r e l a t ed t o p r o pos e d so l u ti o n. </li><li> D e v e l op do c u m en t a t i on o n bus i ne s s a ndus e rne e ds,o b j e c t i v esand s y s t em r equ i r e m en t s s p e c i f i c a ti o ns o f bo t h i n t e r n aland e x t e r n a l c li e n t sof C e bu Pa c i f i c. </li><li> D e v e l op f u nc t i o n al s pe c i f i ca t i onsand s y s t emde si g n s pec i f i ca t i o n s f o r c l i enten g a g e m en t s. </li><li>Lead t e s t i nge ff o r t sandp a r t i cipa t es i n q u a l it yco n tr o l ,acce p t a n ce t e s t i ngand t h e i m p l e m en t a ti o n of app l i c a t i on s y s t e m s</li><li>Ensu r e i s s u e s a r e i de n t i f i e d, t r ac k ed, r epo r t edon and r e s o l v ed i na t i m e l y m anne r . </li><li>Wo r k w i t h c li e nt p e r sonn e l t o i d e n t if y r eq u i r ed c h an g e s ; co m m un i ca t es n eed e d ch a n g es t o de v e l o p m ent t e a m . </li></ul><p><br></p><strong>Basic Qualifications:</strong><p><br></p><ul><li> Must be a college graduate in any course. </li><li> Must have at least 1 year of experience as a Business Systems Analyst. </li><li> Must have strong background in project management, systems and procedure documentation. </li><li> Trainings and/or Certifications on any of the following are a huge advantage - Agile BA Training, ITIL, Airline Business Applications, Business Process Engineering. </li><li> Critical thinking, problem solving and interpreting complex business periodicals, journals and technical procedures is a must for this role. </li><li> Must have some knowledge in a recognized project management methodology and IT project management framework. </li></ul><p><br></p><strong> Be JUAN of us and together, let's make moments happen. </strong><p><br></p><em> Note: This position is for an Individual Contributor and will be based in Pasay City, Metro Manila but currently follows a hybrid workplace flexibility arrangement. </em><p><br></p><strong>Experience Range Range (Years)</strong><p><br></p>1 - 3 years<p><br></p><strong>Job posted on</strong><p><br></p>2022-06-21
      ",https://ph.linkedin.com/company/cebupacificair?trk=public_jobs_jserp-result_job-search-card-subtitle
2,https://linkedin.com/jobs/view/junior-software-engineer-at-likha-it-inc-3719999128,Junior Software Engineer,Likha-iT Inc.,,2023-09-13,software development,"Manila, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"
        <strong>What You Will Do</strong><p><br></p><ul><li>Develop one of our web services with modern web technologies.</li><li>Collaborate with teams to make our services and teams better</li><li>Maintain and troubleshoot existing web applications.</li><li>Improve and maintain applications after deployment.'</li><li>Create back-end components.</li><li>Develop and maintain APIs.</li><li>Integrate user-facing elements designed by the front-end team.</li></ul><p><br></p><strong>Minimum Qualifications</strong><p><br></p><strong>Minimum qualifications:</strong><p><br></p><ul><li>Over 1 - 2 years of practical development experience as a software engineer</li><li>Experience covering front-end, back-end, and infrastructure.</li><li>Experience to contribute organizational activities including evaluation, hiring, and hosting tech events.</li><li>Ability to understand products, business, and customer’s needs.</li></ul><p><br></p><strong>Preferred Qualifications</strong><p><br></p><ul><li>Work experience in Japanese environment</li><li>Experience in designing, developing, and operating services from scratch.</li><li>Those who have development experience with Ruby on Rails</li></ul><p><br></p><strong>Candidates with the following mindset is very welcome to apply:</strong><p><br></p><ul><li>Want to create valuable products and deliver them to customers as quickly as possible and with quality.</li><li>Want to help other engineers grow.</li><li>Want to always try new things.</li><li>Think outside the box.</li></ul><p><br></p><strong>Characteristic Of a Great Candidate</strong><p><br></p><ul><li>Resilient, can embrace, adapt, and bounce back quickly when things don’t go as expected.</li><li>Problem Solver and Analytical Thinker</li><li>Good technical communicator, ability to convert your understanding of a concept into something that is meaningful to somebody else. Making meaning out of complexity.</li><li>Love what you do.</li></ul><p><br></p><strong>Work Arrangement</strong><p><br></p><ul><li>Full-time employment</li><li>Hybrid Set up (thrice working on site &amp; twice wfh) - with Transpo or Housing Assistance Subsidy (5,000 - 10,000 monthly)</li></ul>
      ",https://ph.linkedin.com/company/likha-it-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
3,https://linkedin.com/jobs/view/software-developer-at-geoplan-philippines-inc-3730903624,Software Developer,"Geoplan Philippines, Inc.",,2023-10-02,software development,"Manila, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"
        <strong>Job Summary</strong><p><br></p>A Software Developer should be responsible for developing, coding, installing, and<p><br></p>maintaining software systems. Developers form a key part of the IT team and may be<p><br></p>required to modify existing software products or develop entirely new resources.<p><br></p><strong>Technical Specifications</strong><p><br></p><ul><li>Angular 2 - latest</li><li>React</li><li>Nodejs</li><li>Mongo or any NoSQL related</li><li>SQL based (MSsql/Oracle/MySQL/PostgreSQL)</li><li>JavaEE</li><li>.NET technologies</li></ul><p><br></p><strong>Duties/Responsibilities</strong><p><br></p><ul><li>Work with developers to design algorithms and flowcharts.</li><li>Produce clean, efficient code based on specifications.</li><li>Integrate software components and third-party programs.</li><li>Verify and deploy programs and systems.</li><li>Troubleshoot, debug, and upgrade existing software.</li><li>Gather and evaluate user feedback.</li><li>Able to do technical documentation</li></ul><p><br></p><strong>Nice To Have Skills/Abilities</strong><p><br></p><ul><li>Excellent verbal and written communication skills.</li><li>Proficient with Microsoft Office Suite or related software.</li></ul><p><br></p><strong>Education And Experience</strong><p><br></p><ul><li>Preferably a graduate (2yr-course min.) in IT/Computer Science or a related field.</li><li>A high school diploma or equivalent is welcome as well.</li><li>Preferably with at least 1 year of related experience.</li></ul>
      ",https://ph.linkedin.com/company/geoplanph?trk=public_jobs_jserp-result_job-search-card-subtitle
4,https://linkedin.com/jobs/view/full-stack-developer-at-jg-summit-holdings-inc-3718631577,Full Stack Developer,JG Summit Holdings Inc.,,2023-09-12,software development,"Quezon City, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet","
        We are looking for a full stack developer to join our team and help us build innovative and scalable software solutions. The ideal candidate will have a strong understanding of both the front-end and back-end of web development, as well as experience with a variety of technologies and languages.<p><br></p>Responsibilities:<p><br></p><ul><li>Work with product managers and designers to gather requirements and design applications</li><li>Develop the user interface (UI) using HTML, CSS, and JavaScript</li><li>Develop the back-end logic using Java, Python, or C#</li><li>Integrate with databases and other third-party services</li><li>Test and debug applications </li><li>Deploy applications to production</li></ul><p><br></p>Qualifications:<p><br></p><ul><li>Bachelor's degree in computer science or a related field</li><li>3+ years of experience in full stack development</li><li>Strong understanding of HTML, CSS, JavaScript, and a back-end language such as Java, Python, or C#</li><li>Experience with a variety of web development frameworks and libraries</li><li>Experience with databases and data modeling</li><li>Excellent problem-solving and debugging skills</li><li>Ability to work independently and as part of a team</li><li>Excellent communication and interpersonal skills</li></ul>
      ",https://ph.linkedin.com/company/jgshi?trk=public_jobs_jserp-result_job-search-card-subtitle
5,https://linkedin.com/jobs/view/full-stack-developer-at-bell-kenz-pharma-inc-3695199926,Full Stack Developer,"Bell-Kenz Pharma, Inc.",,2023-08-16,software development,"Quezon City, National Capital Region, Philippines",Associate,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing,"
        <ul><li>Developing front end website architecture.</li><li> Designing user interactions on web pages.</li><li> Developing back end website applications.</li><li> Creating servers and databases for functionality.</li><li> Ensuring cross-platform optimization for mobile phones.</li><li> Ensuring responsiveness of applications.</li><li> Working alongside graphic designers for web design features.</li><li> Seeing through a project from conception to finished product.</li><li> Designing and developing APIs.</li><li> Deployment of source code via GIT</li><li> Meeting both technical and consumer needs.</li><li> Staying abreast of developments in web applications and programming languages.</li></ul><p><br></p><strong>Minimum Qualifications</strong><p><br></p><ul><li>Strong analytical and planning skills;</li><li>Good communication and presentation skills;</li><li>Excellent problem-solving skills;</li><li>Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.</li><li>Familiarity with JavaScript frameworks such as REACTJS.</li><li>Core Web Programming languages &amp; platforms, including HTML5, CSS3, PHP, MySQL, and JavaScript.</li><li>Object-oriented and MVC (Laravel) development experience strongly preferred.</li><li>Knowledge in SVN like GIT</li><li>Familiarity in BitBucket and JIRA</li><li>Knowledge of web services / API integration</li><li>Knowledge in CI/CD like Pipeline is a big Plus</li><li>Knowledge in AWS server configuration is a Plus</li></ul>
      ",https://ph.linkedin.com/company/bellkenzpharmainc?trk=public_jobs_jserp-result_job-search-card-subtitle
6,https://linkedin.com/jobs/view/software-engineer-at-paymongo-3636556640,Software Engineer,PayMongo,,2023-06-20,software development,"Taguig, National Capital Region, Philippines",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage and Internet Publishing","
        PayMongo builds the most advanced online payments infrastructure in SE Asia, starting in the Philippines. Over the next few years, we will build a broad suite of products that aims to lower the barriers and remove all the complexities in payments. We are rapidly expanding to serve diverse needs of thousands of business. To continue on this exponential period of growth, we seek to build the best and the most diverse team of thinkers, doers and starters.<p><br></p>PayMongo is, at its heart, an engineering company. We run multiple software systems and platform that power thousands of businesses. Our platform processes payments, detects fraud, enable merchants settlements, among many capabilities that help entrepreneurs and businesses scale online. Helping us build these systems are software engineers, building the core of the business and making some of the most significant decisions for the company.<p><br></p>In this role, you will get to work with other engineers, product managers and business leads to build features and products that our merchants love. You will be working on systems that span across the platform and collaborate with other teams in the company to understand and solve our users' pain points.<p><br></p>You will:<p><br></p><ul><li>Design, develop and maintain APIs, services and systems across the entire platform at PayMongo</li><li>Debug production issues across services and multiple levels of the stack</li><li>Work with other engineers in the company to build new features and products at scale</li><li>Uphold our high engineering standards and bring consistency to the many codebases and processes you will encounter</li><li>Collaborate with stakeholders across the company such as experts in product, design, infrastructure and compliance<br><br></li></ul>You might work on:<p><br></p><ul><li>Building new APIs for our users, or iterating on existing APIs</li><li>Launching new products, checkout experiences or payment methods</li><li>Building new tools for our internal operations, compliance and business teams</li><li>Crafting and refining onboarding experiences to help users get to what they want faster while balancing regulatory, risk and compliance requirements</li><li>Improving and adding functionalities to the PayMongo dashboard to help our customers run their business<br><br></li></ul>You may be a fit if:<p><br></p><ul><li>You have an extensive experience in shipping high-quality code and products</li><li>You enjoy being generalist, sometimes working on the frontend or backend—anything it takes to solve problems and delight users both internally and externally</li><li>You thrive in a collaborative environment involving different stakeholders and subject matter experts</li><li>You can stitch together many different services and processes together even if you have not worked with them before</li><li>You can put yourself in the shoes of our users and be a steward of crafting great experiences</li><li>You enjoy working with a diverse group of people with different expertise</li><li>You uphold best practices in engineering, security, quality and design<br><br></li></ul>PayMongo is a financial technology company enabling businesses to receive payments online easily. We started the company in March 2019, and we are backed by Silicon Valley's most forward-thinking investors including Y Combinator, Peter Thiel, Founders Fund and Stripe. We are looking for people with passion, grit and the integrity to help us build the future of payments.
      ",https://ph.linkedin.com/company/paymongo?trk=public_jobs_jserp-result_job-search-card-subtitle
7,https://linkedin.com/jobs/view/junior-web-developer-at-powersolv-incorporated-3730373111,Junior Web Developer,PowerSolv Incorporated,,2023-10-02,software development,"Quezon City, National Capital Region, Philippines",Entry level,Full-time,Information Technology,Software Development,"
        We are seeking a self-motivated Web Developer with expertise in VB.NET to join our team. In this role, you will be responsible for designing, developing, and incorporating a C++ DLL into our web Software-as-a-Service (SAAS) application using VB.NET. As the web developer on the team, you will have the opportunity to learn independently and contribute to all aspects of the web application development process.<p><br></p><strong>Responsibilities</strong><p><br></p><ul><li>Web application development: Design, develop, and maintain web applications using VB.NET as the primary programming language. Utilize HTML, CSS, JavaScript, and other relevant technologies to create responsive and user-friendly web interfaces.</li><li>Understanding and working with existing VB.NET code: Analyze and understand the existing VB.NET codebase, identifying areas for improvement, refactoring, and optimization. Implement modifications and enhancements based on stakeholder requirements. </li><li>Integration of C++ DLL: Collaborate with stakeholders to understand the requirements and functionality of the C++ DLL. Develop strategies and implement the necessary steps to integrate the DLL into the web application.</li><li>Back-end development: Build server-side functionalities using VB.NET, to facilitate the interaction between the web application and the C++ DLL.</li><li>Front-end development: Create user interfaces and implement interactive features using HTML, CSS, and JavaScript.</li><li>Troubleshooting and debugging: Independently identify and resolve issues related to web development and the existing VB.NET codebase. Utilize problem-solving skills and debugging techniques to troubleshoot technical challenges.</li><li>Testing and optimization: Conduct comprehensive testing of web applications to ensure functionality, performance, and cross-browser compatibility. Optimize the applications for speed, scalability, and user experience.</li><li>Documentation: Document the integration process, code changes, and troubleshooting steps for future reference and knowledge sharing.</li><li>Self-learning and skill enhancement: Continuously learn and stay updated on the latest web development technologies, frameworks, and best practices. Take the initiative to enhance your skills independently.</li></ul><p><br></p><strong>Requirements</strong><p><br></p><ul><li>Education: Bachelor's degree in Computer Science, Software Engineering, Electrical Engineering, or a related field. Relevant coursework or certifications in web development will be advantageous.</li><li>VB.NET proficiency: Strong expertise in VB.NET programming language, with a thorough understanding of object-oriented programming principles and experience in developing web applications using VB.NET. </li><li>Web development knowledge: Solid understanding of web development technologies, including HTML, CSS, JavaScript.</li><li>Understanding of existing VB.NET codebase: Ability to analyze and comprehend existing VB.NET code, identify areas for improvement, and implement modifications and enhancements. </li><li>Problem-solving skills: Strong analytical thinking and problem-solving abilities to identify and resolve web development and integration issues.</li><li>Attention to detail: Keen attention to detail to ensure accurate implementation of web design elements and adherence to coding standards.</li><li>Self-motivation and independence: Demonstrated ability to work independently, take ownership of tasks, and drive the integration process forward with minimal supervision.</li><li>Team player: Willingness to collaborate effectively with other team members, such as stakeholders and project managers, to understand requirements and provide updates on progress.</li></ul>
      ",https://ph.linkedin.com/company/powersolv-incorporated?trk=public_jobs_jserp-result_job-search-card-subtitle
8,https://linkedin.com/jobs/view/junior-software-engineer-fort-bgc-taguig-at-mediatics-digital-indonesia-3719613708,Junior Software Engineer | Fort BGC Taguig,Mediatics Digital Indonesia,,2023-09-18,software development,"Taguig, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,Advertising Services,"
        <ul><li>Be part of a team that develops a new software product from the ground up, staying true to company’s core values and needs while lending your own creativity to the mix.</li><li>Create scaleable and automated solutions for the customer.</li><li>Write tests for existing and created code to ensure compatibility and stability.</li><li>Be responsible for programming related task such as coding.</li></ul><p><br></p><strong>Minimum Qualifications</strong><ul><li>Graduate of any BS IT, Computer Science, Computer Engineering or related courses (Bachelor's degree only).</li><li>Fresh graduates or those with 6 months to one year experience are welcome to apply.</li><li>Proficient in analytical skills, both written and oral.</li><li>Good communication skills.</li><ul><li>Can converse and write well in English.</li></ul><li>Good problem solving skills.</li><li>Highly analytical.</li></ul>
      ",https://id.linkedin.com/company/mediatics-digital-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle
9,https://linkedin.com/jobs/view/software-engineer-i-entry-level-at-stealth-monitoring-inc-3660025601,Software Engineer I (Entry Level),"Stealth Monitoring, Inc.",,2023-07-10,software development,"Pasig, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,Security and Investigations,"
        Stealth Monitoring is looking for talented individuals like you! Be the next Software Engineer I.<p><br></p>Stealth Monitoring is looking for highly motivated <em>fresh graduates</em> to join the Stealth Software Development Team. Work with world class engineers in a fast-paced environment. Deliver cutting edge software solutions across IoT/Edge, Cloud, Web and Desktop. Contribute to the overall success of the business through the strategic Stealth Solutions Product line.<p><br></p>In addition to strong analytical and communication skills, to succeed in this role the candidate must have a positive attitude, an eagerness to learn, and an exceptional work ethic.<p><br></p><strong>Job Highlights</strong><p><br></p><ul><li>Day 1 HMO for you and two (2) of your dependents.</li><li>Annual and Performance Based Salary Increase</li><li>Additional Leave Credits</li></ul><p><br></p><strong>Duties &amp; Responsibilities</strong><p><br></p><ul><li>Contribute to delivery of feature and function requests through the agile software delivery methodology </li><li>Work closely with the senior software engineers through design, code and test for new product development </li><li>Provide feedback on requests, clarify requirements with Business Analysts </li><li>Troubleshoot issue reports and bugs. </li></ul><p><br></p><strong>Qualifications</strong><p><br></p><ul><li>Candidate must possess at least Bachelor’s/College Degree in Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Computer Science/Information Technology, Physics or equivalent. </li><li>Excellent verbal and written communication skills </li><li>Practical work experience, apprenticeship, co-op work activities are a plus. </li><li>Experience with cloud-based technologies, such as Microsoft Azure, AWS is a plus.</li></ul><p><br></p>Core Competencies<p><br></p><ul><li>Software development lifecycle fundamentals </li><li>Data structures and design patterns fundamentals </li><li>Object oriented &amp; Event driven programming fundamentals </li><li>Relational database and SQL fundamentals </li><li>Programming experience in one or more languages, such a C#, Java, JavaScript, Python </li><li>Excellent communication skills: strong English is required. </li></ul><p><br></p><em>Why join Stealth Monitoring?</em><p><br></p><em>At Stealth Monitoring, we invite you to make a difference. Take over a position that creates community impact.</em><p><br></p><em>Get to work with skillful team members and experience limitless growth.</em><p><br></p><em>Choose to be exceptional and be part of the never-ending cycle of innovation, transformation and evolution of surveillance technology.</em>
      ",https://www.linkedin.com/company/stealth-monitoring-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle
10,https://linkedin.com/jobs/view/junior-software-engineer-quezon-city-at-mediatics-digital-indonesia-3719613713,Junior Software Engineer | Quezon City,Mediatics Digital Indonesia,,2023-09-18,software development,"Quezon City, National Capital Region, Philippines",Entry level,Full-time,Engineering and Information Technology,Advertising Services,"
        <ul><li>Be part of a team that develops a new software product from the ground up, staying true to company’s core values and needs while lending your own creativity to the mix.</li><li>Create scalable and automated solutions for the customer.</li><li>Write tests for existing and created code to ensure compatibility and stability.</li><li>Be responsible for programming related tasks such as coding.</li></ul><p><br></p><strong>Minimum Qualifications</strong><ul><li>Graduate of any BS IT, Computer Science, Computer Engineering or related courses (Bachelor's degree only).</li><li>Fresh graduates or those with 6 months to one year experience are welcome to apply.</li><li>Proficient in analytical skills, both written and oral.</li><li>Good communication skills.</li><ul><li>Can converse and write well in English.</li></ul><li>Good problem-solving skills.</li><li>Highly analytical.</li></ul>
      ",https://id.linkedin.com/company/mediatics-digital-indonesia?trk=public_jobs_jserp-result_job-search-card-subtitle
